school,school_id,district,district_id,percent_not_proficient_math,percent_chronically_absent
A C Houghton Elementary School,813,Morrow SD 1,2147,0.508,0.115
Abernethy Elementary School,822,Portland SD 1J,2180,0.293,0.07400000000000001
Abraham Lincoln Elementary,1350,Medford SD 549C,2048,0.373,0.139
Academy for Character Education,4555,South Lane SD 45J3,2087,0.42800000000000005,NA
Adams Elementary School,27,Corvallis SD 509J,1901,0.38900000000000007,0.055999999999999994
Adams Elementary School,503,Eugene SD 4J,2082,0.254,0.122
Adrian Elementary School,707,Adrian SD 61,2113,0.55,0.1
Aiken Elementary School,694,Ontario SD 8C,2108,0.648,0.057999999999999996
Ainsworth Elementary School,823,Portland SD 1J,2180,0.196,0.096
Alameda Elementary School,692,Ontario SD 8C,2108,0.5770000000000001,0.08
Alameda Elementary School,824,Portland SD 1J,2180,0.17,NA
Alberta Rider Elementary School,4364,Tigard-Tualatin SD 23J,2242,0.34,0.151
Allen Dale Elementary School,435,Grants Pass SD 7,2054,0.375,0.07
Alliance Charter Academy,4585,Oregon City SD 62,1928,0.467,NA
Aloha-Huber Park School,1153,Beaverton SD 48J,2243,0.556,0.188
Amity Creek Elementary School,1324,Bend-LaPine Administrative SD 1,1976,0.4809999999999999,NA
Amity Elementary School,1208,Amity SD 4J,2252,0.47900000000000004,0.125
Annex Charter School,705,Annex SD 29,2111,0.385,0.091
Antonia Crater Elementary School,1335,Newberg SD 29J,2254,0.308,0.092
Applegate Elementary School,589,Crow-Applegate-Lorane SD 66,2089,0.385,0.231
Archer Glen Elementary School,1334,Sherwood SD 88J,2244,0.17,0.11199999999999999
Arco Iris Spanish Immersion School,4805,Beaverton SD 48J,2243,0.4590000000000001,0.102
Ardenwald Elementary School,4762,North Clackamas SD 12,1924,0.542,0.16699999999999998
Arleta Elementary School,826,Portland SD 1J,2180,0.5770000000000001,0.07400000000000001
Arlington Community Charter School,323,Arlington SD 3,2005,0.35700000000000004,0.067
Arthur Academy,3580,David Douglas SD 40,2187,0.462,NA
Ash Creek Elementary School,3464,Central SD 13J,2191,0.589,0.125
Astor Elementary School,827,Portland SD 1J,2180,0.405,0.067
Athena Elementary School,1053,Athena-Weston SD 29RJ,2208,0.561,0.195
